,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
415,23025,04,16,20,21,31,32,14
416,23024,03,06,09,17,27,28,03
417,23023,05,08,10,15,24,25,09
418,23022,10,11,18,19,23,31,03
419,23021,02,05,06,19,21,27,04
420,23020,01,12,17,18,26,27,05
421,23019,06,12,26,28,29,32,15
422,23018,10,12,17,19,25,31,13
423,23017,05,11,18,20,26,28,12
424,23016,14,16,19,23,28,30,03
425,23015,02,03,14,21,29,32,08
426,23014,06,07,18,23,27,30,05
427,23013,06,10,14,22,23,33,13
428,23012,03,04,07,22,26,30,06
429,23011,06,07,16,17,21,22,04
430,23010,04,05,13,18,27,29,12
431,23009,03,04,19,23,30,32,06
432,23008,05,13,18,20,26,28,06
433,23007,05,06,09,22,25,31,03
434,23006,02,10,12,14,24,26,05
435,23005,02,06,08,13,14,19,16
436,23004,01,07,15,16,20,25,16
437,23003,05,08,18,25,30,32,06
438,23002,02,06,10,16,18,22,13
439,23001,09,16,18,22,28,32,02
440,22150,01,07,11,12,22,28,05
441,22149,02,22,26,29,32,33,14
442,22148,02,15,16,17,21,31,14
443,22147,02,03,07,13,20,30,10
444,22146,06,07,13,18,26,31,06
445,22145,03,21,25,30,31,33,11
446,22144,07,20,22,23,31,32,05
447,22143,07,08,13,29,30,33,03
448,22142,01,03,13,16,21,27,03
449,22141,05,12,13,17,20,27,14
450,22140,08,09,18,19,20,27,15
451,22139,06,07,09,16,17,19,14
452,22138,02,14,19,21,25,28,11
453,22137,08,21,23,27,28,33,01
454,22136,08,10,14,15,18,22,08
455,22135,09,11,13,24,28,32,06
456,22134,01,05,14,17,24,31,14
457,22133,05,08,16,17,21,25,12
458,22132,01,03,18,26,32,33,04
459,22131,03,05,10,13,19,29,06
460,22130,02,08,15,17,26,28,12
461,22129,10,12,14,22,24,27,07
462,22128,03,12,18,24,27,29,01
463,22127,03,04,09,10,29,33,13
464,22126,01,13,15,17,26,33,13
465,22125,02,03,07,12,20,31,16
466,22124,05,10,13,18,24,26,01
467,22123,10,13,16,20,21,25,05
468,22122,06,08,17,19,24,28,05
469,22121,12,17,22,27,30,31,02
470,22120,02,15,19,26,27,29,02
471,22119,02,05,15,18,26,27,04
472,22118,02,06,07,11,14,33,08
473,22117,04,13,17,18,28,29,06
474,22116,08,14,26,27,30,33,01
475,22115,06,07,18,20,27,29,09
476,22114,01,05,15,19,26,29,13
477,22113,13,14,20,24,27,29,02
478,22112,03,05,08,17,25,31,01
479,22111,02,10,11,13,28,31,01
480,22110,09,13,15,18,20,28,15
481,22109,04,11,13,19,22,33,11
482,22108,01,07,13,17,18,31,15
483,22107,03,09,11,15,19,28,16
484,22106,17,20,22,23,24,31,01
485,22105,06,12,13,15,21,23,15
486,22104,01,08,19,25,26,31,01
487,22103,06,09,12,14,20,28,10
488,22102,09,10,12,18,29,32,14
489,22101,04,16,18,19,27,28,04
490,22100,02,06,07,15,20,21,15
491,22099,01,11,23,24,26,32,15
492,22098,02,03,04,06,21,33,05
493,22097,04,05,10,13,30,31,14
494,22096,03,16,17,19,25,33,07
495,22095,04,13,14,18,20,28,08
496,22094,06,11,13,16,19,31,02
497,22093,21,22,24,28,29,32,14
498,22092,07,10,16,20,21,27,11
499,22091,08,18,20,22,24,28,10
500,22090,01,04,25,27,29,30,07
